id,gender,customer_type,age,type_of_travel,customer_class,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,onboard_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
61317,female,loyal_customer,25,personal_travel,eco,980,4,3,4,4,2,4,2,2,NA,2,3,4,4,2,12,9,not_satisfied
20383,female,disloyal_customer,36,business_travel,eco_plus,325,3,4,4,3,4,4,5,4,2,1,3,2,4,4,8,0,not_satisfied
51135,male,loyal_customer,45,personal_travel,eco,409,2,2,2,3,4,2,4,4,3,4,4,3,3,4,1,0,not_satisfied
94568,male,loyal_customer,24,personal_travel,eco_plus,552,4,5,4,4,2,4,2,2,2,2,2,1,4,2,0,10,not_satisfied
38416,NA,loyal_customer,50,personal_travel,eco_plus,1635,1,4,1,4,3,4,4,3,3,1,5,4,3,5,1,0,not_satisfied
50385,male,loyal_customer,45,business_travel,business,650,2,4,4,4,2,3,3,2,2,2,2,1,2,2,56,73,not_satisfied
28608,male,loyal_customer,42,personal_travel,eco_plus,822,4,4,4,2,1,4,2,1,3,4,5,4,5,1,66,51,not_satisfied
21909,female,loyal_customer,47,personal_travel,eco_plus,460,3,4,1,3,2,1,3,5,5,1,1,4,5,2,1,0,not_satisfied
116994,male,disloyal_customer,26,business_travel,business,431,4,4,5,2,3,5,3,3,4,3,5,4,5,3,7,0,not_satisfied
60037,female,loyal_customer,49,business_travel,business,101,1,4,4,4,3,4,3,2,2,2,1,1,2,3,11,14,not_satisfied
105870,female,loyal_customer,37,personal_travel,eco,2586,1,4,1,5,1,5,5,3,2,4,4,5,4,5,0,0,not_satisfied
41823,male,disloyal_customer,33,business_travel,business,364,4,4,4,5,1,4,1,1,5,5,4,4,5,1,35,30,not_satisfied
64160,female,loyal_customer,26,personal_travel,eco,140,1,0,1,1,1,1,1,1,4,3,5,5,4,1,0,0,not_satisfied
36737,female,loyal_customer,15,personal_travel,business,421,3,2,3,4,2,3,2,2,1,3,4,4,3,2,0,0,not_satisfied
95210,NA,loyal_customer,42,business_travel,business,507,3,3,3,3,3,4,3,3,3,4,3,3,3,4,43,12,not_satisfied
18856,NA,disloyal_customer,28,business_travel,business,448,2,2,2,1,5,2,5,5,3,3,4,3,5,5,30,13,not_satisfied
68596,male,loyal_customer,55,business_travel,eco,222,3,1,4,1,3,3,3,3,4,5,3,4,3,3,0,0,not_satisfied
119689,male,loyal_customer,57,business_travel,business,1947,4,2,2,2,5,2,3,4,4,4,4,1,4,4,0,5,not_satisfied
54342,female,loyal_customer,54,personal_travel,eco,284,3,5,3,2,2,NA,5,1,NA,3,1,3,1,3,0,6,not_satisfied
90479,female,loyal_customer,54,personal_travel,business,977,3,5,3,5,4,5,5,4,4,3,4,3,4,3,0,0,not_satisfied
110906,male,loyal_customer,44,business_travel,business,373,2,4,4,4,3,4,4,2,2,2,2,4,2,1,33,29,not_satisfied
61625,NA,disloyal_customer,23,business_travel,eco,444,4,3,4,4,1,NA,1,1,4,5,3,4,4,1,0,6,not_satisfied
15158,female,loyal_customer,63,personal_travel,eco,936,2,4,2,2,4,4,5,2,2,2,2,5,2,3,7,4,not_satisfied
60448,female,loyal_customer,70,personal_travel,eco,1182,3,4,3,3,5,3,2,4,4,3,4,3,4,1,0,3,not_satisfied
97993,male,loyal_customer,48,personal_travel,eco,1670,4,0,4,3,4,4,3,4,5,2,4,5,4,4,0,0,not_satisfied
66387,female,loyal_customer,24,business_travel,business,3889,1,2,2,2,4,4,1,4,1,2,3,4,4,4,0,27,not_satisfied
6918,male,loyal_customer,31,personal_travel,eco_plus,1067,3,4,3,2,4,3,4,4,NA,3,5,3,4,4,0,10,not_satisfied
108446,male,loyal_customer,33,business_travel,business,468,1,5,5,5,1,1,1,1,NA,1,4,3,3,1,0,0,not_satisfied
28833,female,loyal_customer,12,personal_travel,eco,526,2,4,2,1,1,2,1,1,5,4,5,3,5,1,10,0,not_satisfied
10365,male,disloyal_customer,23,business_travel,eco,251,4,2,4,4,4,4,4,4,3,2,4,4,3,4,13,7,not_satisfied
47738,male,disloyal_customer,29,business_travel,business,1608,3,3,3,1,5,3,5,5,3,3,4,4,5,5,0,0,not_satisfied
114433,female,disloyal_customer,43,business_travel,eco,143,3,5,3,2,2,3,2,2,3,5,2,2,3,2,70,60,not_satisfied
18834,male,loyal_customer,19,personal_travel,eco,588,1,5,1,1,2,1,2,2,5,5,5,4,5,2,6,0,not_satisfied
32052,male,loyal_customer,30,personal_travel,eco,386,4,1,4,3,2,4,2,2,3,5,4,2,4,2,8,1,not_satisfied
95906,NA,loyal_customer,68,personal_travel,eco,383,2,5,2,2,1,2,1,1,3,3,4,4,4,1,0,0,not_satisfied
8804,NA,loyal_customer,40,personal_travel,eco,1020,3,4,3,3,2,3,2,2,5,3,4,3,4,2,7,0,not_satisfied
46856,female,disloyal_customer,24,business_travel,eco,486,2,1,1,4,5,1,5,5,2,2,4,1,4,5,9,0,not_satisfied
3229,male,loyal_customer,38,business_travel,business,603,4,1,1,1,4,3,3,4,4,4,4,3,4,3,40,25,not_satisfied
13646,male,loyal_customer,48,business_travel,eco,667,3,1,1,1,3,3,3,3,1,5,1,2,1,3,0,0,not_satisfied
49066,male,disloyal_customer,36,business_travel,business,1092,2,2,2,1,1,2,1,1,5,4,5,3,4,1,0,0,not_satisfied
85496,NA,disloyal_customer,38,business_travel,business,715,2,2,2,5,2,2,2,2,5,5,4,4,4,2,0,0,not_satisfied
129861,female,disloyal_customer,16,business_travel,eco,1073,2,2,2,1,3,2,3,3,5,1,2,1,5,3,21,3,not_satisfied
89872,male,loyal_customer,31,business_travel,business,500,3,3,3,3,3,3,3,3,1,5,4,2,4,3,0,0,not_satisfied
25111,male,loyal_customer,66,personal_travel,eco,933,4,4,4,1,2,NA,2,2,5,4,5,4,4,2,0,0,not_satisfied
20998,male,loyal_customer,14,personal_travel,eco,859,2,5,2,2,4,2,4,4,3,1,3,4,2,4,5,16,not_satisfied
89091,NA,loyal_customer,60,business_travel,business,338,2,5,5,5,1,3,4,2,2,2,2,3,2,2,0,0,not_satisfied
99812,male,loyal_customer,29,business_travel,eco,1127,1,3,3,3,1,1,1,1,4,5,4,4,4,1,0,0,not_satisfied
117605,male,loyal_customer,65,personal_travel,eco_plus,204,2,5,2,2,1,2,1,1,2,3,1,1,3,1,0,0,not_satisfied
68287,male,loyal_customer,32,personal_travel,eco,1121,2,5,2,3,2,2,2,2,5,2,4,4,5,2,0,0,not_satisfied
100656,female,loyal_customer,60,business_travel,business,430,4,5,5,5,3,3,4,4,4,4,4,2,4,3,0,0,not_satisfied
93804,male,loyal_customer,13,personal_travel,eco,577,3,5,3,4,4,3,4,4,5,2,4,5,4,4,32,21,not_satisfied
124783,female,disloyal_customer,22,business_travel,eco,541,3,4,3,1,4,3,4,4,3,5,2,1,4,4,0,0,not_satisfied
64376,female,loyal_customer,22,personal_travel,eco,956,3,5,3,1,4,3,4,4,NA,5,4,5,4,4,2,0,not_satisfied
6383,female,disloyal_customer,22,personal_travel,eco,802,2,4,1,2,3,1,3,3,2,4,3,3,2,3,11,0,not_satisfied
99950,female,loyal_customer,24,personal_travel,eco,2583,4,3,4,3,5,4,5,5,3,5,3,2,2,5,0,0,not_satisfied
128864,female,loyal_customer,58,personal_travel,eco,228,2,4,2,1,4,4,4,5,5,2,5,5,5,3,0,0,not_satisfied
97883,female,loyal_customer,25,personal_travel,eco,349,2,2,2,3,5,2,5,5,4,4,4,3,3,5,31,27,not_satisfied
99905,male,disloyal_customer,37,business_travel,eco,1000,2,3,3,2,2,3,2,2,3,2,1,4,5,2,0,0,not_satisfied
10800,male,disloyal_customer,23,business_travel,business,305,2,1,2,1,4,2,4,4,3,4,2,1,2,4,33,23,not_satisfied
126730,male,loyal_customer,41,personal_travel,eco,788,2,4,2,5,2,2,2,2,5,3,4,4,4,2,7,2,not_satisfied
65016,NA,disloyal_customer,34,business_travel,business,920,1,1,1,1,5,1,5,5,3,4,5,3,5,5,81,120,not_satisfied
59187,male,loyal_customer,24,business_travel,business,2348,3,4,4,4,3,NA,3,3,1,3,1,3,2,3,8,17,not_satisfied
22752,female,loyal_customer,21,business_travel,business,628,2,5,5,5,2,NA,2,2,1,1,4,4,4,2,1,8,not_satisfied
9359,female,loyal_customer,8,personal_travel,eco,197,2,4,2,3,4,2,4,4,4,3,5,4,4,4,0,1,not_satisfied
23810,female,loyal_customer,41,business_travel,eco_plus,1299,2,4,4,4,2,4,3,2,2,2,2,3,2,3,0,0,not_satisfied
14986,female,loyal_customer,41,personal_travel,eco,366,2,5,4,3,2,4,2,2,3,4,1,1,4,2,0,0,not_satisfied
4008,NA,disloyal_customer,27,business_travel,business,1576,2,2,2,3,3,2,4,3,4,2,5,5,4,3,0,0,not_satisfied
124487,NA,loyal_customer,55,business_travel,business,612,4,3,3,3,5,4,3,4,4,4,4,3,4,2,14,19,not_satisfied
67058,female,loyal_customer,64,personal_travel,eco,405,3,4,3,4,5,NA,5,1,1,3,1,3,1,4,0,0,not_satisfied
77131,male,loyal_customer,18,business_travel,business,2935,2,4,4,4,1,1,2,1,2,3,4,2,3,1,0,0,not_satisfied
83889,male,loyal_customer,68,personal_travel,eco,265,4,2,4,4,5,NA,5,5,4,5,2,2,3,5,0,1,not_satisfied
74743,female,loyal_customer,49,personal_travel,eco,236,2,4,2,3,4,4,5,4,4,2,4,3,4,5,0,0,not_satisfied
108838,NA,loyal_customer,17,business_travel,eco_plus,370,3,3,3,3,3,3,4,3,1,2,3,4,3,3,12,14,not_satisfied
87360,male,loyal_customer,10,personal_travel,eco,1303,2,4,2,4,1,2,1,1,3,4,4,4,4,1,14,0,not_satisfied
126331,male,loyal_customer,49,personal_travel,eco,931,2,5,2,3,5,2,5,5,3,3,5,4,4,5,50,36,not_satisfied
65627,female,disloyal_customer,22,business_travel,eco,368,4,5,4,4,1,4,1,1,3,4,5,4,4,1,0,0,not_satisfied
11145,male,loyal_customer,9,personal_travel,eco,584,3,5,3,1,1,3,2,1,5,4,2,3,1,1,0,0,not_satisfied
71441,female,loyal_customer,32,business_travel,business,1558,4,5,5,5,4,4,4,4,2,2,3,4,2,4,24,16,not_satisfied
106485,female,loyal_customer,63,personal_travel,business,2475,4,1,4,3,4,3,2,2,2,4,2,1,2,3,0,0,not_satisfied
52376,male,loyal_customer,47,personal_travel,eco,700,3,4,3,4,3,3,4,3,4,2,4,5,1,3,0,0,not_satisfied
76554,female,disloyal_customer,40,business_travel,business,689,1,1,1,4,5,1,5,5,3,4,3,2,4,5,0,0,not_satisfied
51144,female,disloyal_customer,25,business_travel,business,551,2,4,2,1,1,2,1,1,4,3,5,5,4,1,5,8,not_satisfied
63158,male,loyal_customer,47,business_travel,eco,599,1,2,5,2,1,1,1,1,1,3,3,3,3,1,96,85,not_satisfied
25453,NA,loyal_customer,33,personal_travel,eco,528,3,4,3,2,2,3,2,2,3,2,5,4,5,2,25,77,not_satisfied
74579,male,disloyal_customer,37,business_travel,business,362,3,3,3,4,4,3,4,4,3,2,3,4,4,4,0,21,not_satisfied
107515,male,loyal_customer,19,personal_travel,business,237,2,5,2,1,2,2,2,2,3,3,5,4,4,2,0,0,not_satisfied
28862,male,loyal_customer,33,business_travel,eco,1023,4,1,1,1,4,4,4,4,1,5,3,1,3,4,0,0,not_satisfied
56963,male,disloyal_customer,26,business_travel,business,717,3,3,3,4,1,3,2,1,5,3,5,5,4,1,0,0,not_satisfied
2978,NA,loyal_customer,66,personal_travel,business,977,3,4,3,1,5,4,4,4,4,3,4,3,4,4,29,28,not_satisfied
108947,female,disloyal_customer,22,business_travel,eco,761,1,1,1,3,1,1,1,1,1,3,3,2,2,1,7,0,not_satisfied
26744,male,loyal_customer,68,personal_travel,eco,409,1,2,1,3,3,1,3,3,4,2,4,1,3,3,0,0,not_satisfied
30289,NA,loyal_customer,45,personal_travel,eco,588,1,5,1,4,4,1,3,4,5,3,4,5,4,4,0,0,not_satisfied
14046,male,loyal_customer,49,personal_travel,eco,296,3,5,3,4,1,3,1,1,3,5,5,5,5,1,0,3,not_satisfied
98960,female,loyal_customer,45,business_travel,business,337,4,1,1,1,5,4,4,4,4,4,4,3,4,2,0,22,not_satisfied
127866,female,loyal_customer,59,personal_travel,eco,683,3,5,3,3,2,4,5,1,1,3,1,4,1,5,0,0,not_satisfied
5509,male,loyal_customer,39,personal_travel,eco,2454,3,5,3,3,3,4,4,5,2,2,4,4,4,4,0,0,not_satisfied
111578,male,loyal_customer,37,business_travel,business,1856,2,5,5,5,3,4,4,2,2,2,2,3,2,4,91,83,not_satisfied
38239,female,loyal_customer,52,personal_travel,eco,414,4,4,4,5,1,4,4,3,3,4,3,3,3,2,0,0,not_satisfied
20084,male,loyal_customer,25,personal_travel,eco_plus,101,2,1,2,3,5,2,5,5,1,5,3,1,3,5,0,0,not_satisfied
29109,female,loyal_customer,54,personal_travel,eco,544,2,4,2,3,2,NA,3,3,3,2,3,2,3,2,0,0,not_satisfied
7215,male,loyal_customer,47,business_travel,business,1189,2,1,1,1,5,4,3,2,2,2,2,3,2,2,0,7,not_satisfied
122241,NA,loyal_customer,37,business_travel,eco,391,4,1,1,1,4,4,4,4,4,2,2,3,2,4,6,0,not_satisfied
78728,male,disloyal_customer,25,business_travel,eco,169,3,0,3,4,3,3,3,3,1,3,5,2,2,3,15,NA,not_satisfied
32017,NA,loyal_customer,23,personal_travel,eco_plus,1754,3,4,4,2,3,4,4,3,4,2,4,4,3,3,7,1,not_satisfied
76719,male,disloyal_customer,39,business_travel,eco,944,2,2,2,4,2,2,2,2,4,1,2,4,5,2,0,0,not_satisfied
72193,male,loyal_customer,15,personal_travel,eco,1189,3,5,3,2,1,3,1,1,4,2,5,4,5,1,0,0,not_satisfied
74556,male,loyal_customer,34,personal_travel,eco,231,3,4,3,4,1,3,5,1,4,5,4,4,4,1,4,0,not_satisfied
74953,male,loyal_customer,49,personal_travel,eco,972,2,5,2,5,5,NA,5,5,4,4,5,4,4,5,0,0,not_satisfied
40645,female,disloyal_customer,35,business_travel,business,342,2,2,2,4,1,2,1,1,3,5,5,3,5,1,4,1,not_satisfied
28394,male,disloyal_customer,24,business_travel,eco,386,2,3,1,4,3,1,4,3,3,4,3,2,4,3,0,0,not_satisfied
66663,male,disloyal_customer,22,business_travel,eco,542,3,4,3,4,5,3,5,5,1,3,3,1,3,5,0,0,not_satisfied
74758,female,loyal_customer,21,personal_travel,eco,931,4,4,3,1,5,3,5,5,5,2,5,3,4,5,24,22,not_satisfied
107657,female,loyal_customer,42,personal_travel,business,814,3,1,2,3,5,3,4,2,2,2,4,2,2,2,0,0,not_satisfied
99612,female,loyal_customer,43,personal_travel,eco,67,1,4,1,3,3,5,4,4,4,1,4,5,4,3,0,0,not_satisfied
104932,NA,disloyal_customer,44,business_travel,eco,391,1,5,2,3,4,2,4,4,5,2,1,1,1,4,0,2,not_satisfied
60147,NA,disloyal_customer,21,business_travel,eco,341,3,4,3,2,4,3,4,4,2,5,4,3,2,4,0,0,not_satisfied
712,male,loyal_customer,33,business_travel,business,236,1,3,3,3,1,1,1,1,4,1,4,1,4,1,2,0,not_satisfied
38065,female,loyal_customer,42,business_travel,eco,816,3,1,1,1,1,3,4,3,3,3,3,2,3,4,0,0,not_satisfied
27163,female,loyal_customer,24,personal_travel,eco,337,4,1,4,3,1,4,5,1,3,2,3,4,3,1,0,0,not_satisfied
34769,NA,disloyal_customer,47,business_travel,eco,56,3,3,3,3,1,3,1,1,3,4,3,1,3,1,36,26,not_satisfied
11512,male,disloyal_customer,21,business_travel,business,1185,2,4,2,3,4,2,4,4,3,3,4,4,3,4,0,0,not_satisfied
47861,female,disloyal_customer,36,business_travel,eco,359,3,1,3,4,3,3,3,3,3,1,4,3,4,3,42,35,not_satisfied
19185,NA,loyal_customer,25,business_travel,business,1500,2,2,2,2,2,2,2,2,2,4,2,4,1,2,53,44,not_satisfied
48608,NA,disloyal_customer,23,business_travel,eco,292,3,2,3,3,4,3,4,4,4,2,4,4,3,4,111,113,not_satisfied
93851,NA,disloyal_customer,25,business_travel,eco,948,3,3,3,4,5,3,5,5,1,5,3,4,3,5,5,2,not_satisfied
63376,female,disloyal_customer,27,business_travel,eco_plus,737,1,1,1,3,4,1,1,4,5,3,2,3,2,4,NA,NA,not_satisfied
16617,male,loyal_customer,58,personal_travel,eco,240,3,2,3,2,3,3,3,3,1,4,3,1,3,3,1,0,not_satisfied
37877,female,loyal_customer,35,business_travel,eco,1428,2,5,3,3,2,3,2,2,3,2,3,4,3,2,0,0,not_satisfied
94031,male,loyal_customer,32,business_travel,business,1389,2,2,2,2,5,5,5,5,4,5,5,5,5,5,67,79,satisfied
1431,female,loyal_customer,43,business_travel,business,2899,0,0,0,5,4,5,5,2,2,2,2,3,2,4,6,0,satisfied
42411,NA,loyal_customer,53,business_travel,business,2694,1,1,1,1,3,5,4,4,4,4,4,3,4,3,0,0,satisfied
33339,female,loyal_customer,25,business_travel,eco,2419,5,5,5,5,5,5,4,5,3,3,5,3,4,5,3,2,satisfied
67187,female,loyal_customer,58,personal_travel,eco,421,0,3,0,3,3,3,3,4,4,0,4,3,4,3,0,0,satisfied
35863,male,loyal_customer,51,business_travel,business,3912,5,5,5,5,4,5,4,4,4,4,4,3,4,5,0,0,satisfied
57008,NA,loyal_customer,42,business_travel,business,1024,2,2,3,2,2,4,4,4,4,4,4,4,4,3,50,42,satisfied
64748,male,loyal_customer,44,business_travel,business,946,1,1,1,1,2,5,4,5,5,5,5,3,5,4,8,5,satisfied
114440,male,loyal_customer,29,business_travel,business,403,1,1,1,1,5,5,5,5,3,1,3,2,4,5,21,4,satisfied
2067,female,loyal_customer,35,business_travel,business,577,2,2,2,2,5,5,4,4,4,4,4,5,4,5,21,7,satisfied
74196,female,loyal_customer,38,business_travel,business,2861,5,5,5,5,3,5,5,5,5,5,5,5,5,5,19,12,satisfied
77220,male,loyal_customer,23,business_travel,business,1660,2,2,2,2,5,5,5,5,1,3,3,2,4,5,1,5,satisfied
62523,female,loyal_customer,31,business_travel,business,1802,4,4,5,4,4,5,4,4,2,4,5,2,1,4,4,0,satisfied
22237,male,loyal_customer,40,business_travel,eco,539,4,3,3,3,4,4,4,4,5,4,1,4,4,4,0,0,satisfied
75657,female,loyal_customer,42,business_travel,business,3431,3,3,3,3,2,5,5,5,5,5,5,5,5,5,0,11,satisfied
96029,male,loyal_customer,60,business_travel,business,2131,1,1,1,1,2,5,4,4,4,4,4,4,4,3,12,0,satisfied
102377,NA,loyal_customer,36,business_travel,eco_plus,1249,4,5,5,5,4,4,4,4,1,3,5,5,2,4,16,0,satisfied
81947,male,loyal_customer,60,business_travel,business,1635,2,2,2,2,3,5,5,4,4,4,4,4,4,3,0,3,satisfied
775,female,loyal_customer,50,business_travel,business,2731,4,4,4,4,3,NA,5,5,5,5,5,3,5,4,0,0,satisfied
48531,NA,disloyal_customer,26,business_travel,business,621,5,5,5,3,3,5,3,3,5,5,4,5,5,3,68,54,satisfied
122598,female,loyal_customer,46,business_travel,business,2446,5,5,5,5,2,3,4,4,4,4,4,5,4,4,0,0,satisfied
119695,male,loyal_customer,36,business_travel,business,1761,5,5,5,5,4,5,4,4,4,4,5,4,4,3,0,11,satisfied
57101,male,loyal_customer,33,business_travel,business,2860,3,3,4,3,4,4,4,4,5,4,5,3,5,4,0,7,satisfied
109248,male,loyal_customer,36,business_travel,business,3615,4,4,2,4,3,5,5,4,4,4,4,4,4,5,0,0,satisfied
4463,female,loyal_customer,25,business_travel,business,2192,3,1,3,3,3,3,3,3,5,1,3,2,3,3,0,0,satisfied
102420,male,loyal_customer,42,business_travel,business,197,5,5,5,5,3,5,4,5,5,5,5,3,5,3,0,0,satisfied
114966,male,loyal_customer,17,business_travel,business,3481,1,1,1,1,5,4,5,5,3,2,5,4,5,5,0,0,satisfied
128487,male,loyal_customer,40,business_travel,business,1346,5,1,5,5,5,4,4,4,4,4,4,4,4,5,0,13,satisfied
41549,male,loyal_customer,48,business_travel,business,532,1,1,1,1,2,5,5,5,5,4,5,3,5,3,0,0,satisfied
81429,female,loyal_customer,46,business_travel,business,3358,3,3,3,3,1,5,2,5,5,5,5,4,5,4,6,0,satisfied
124119,female,loyal_customer,31,business_travel,business,3477,1,1,1,1,4,4,4,4,4,2,5,3,4,4,36,34,satisfied
15008,female,loyal_customer,38,business_travel,eco_plus,748,5,5,5,5,5,5,5,5,2,2,5,1,1,5,44,65,satisfied
33352,male,loyal_customer,39,business_travel,eco,740,4,2,2,2,4,4,4,4,1,1,4,2,2,4,3,0,satisfied
103683,female,disloyal_customer,24,business_travel,eco_plus,241,0,2,0,3,2,0,1,2,3,4,2,5,3,2,1,0,satisfied
119529,male,loyal_customer,34,business_travel,eco_plus,1499,3,1,1,1,3,4,3,3,1,1,1,3,5,3,1,0,satisfied
105938,female,disloyal_customer,16,business_travel,eco,784,0,0,0,2,1,0,1,1,5,5,4,4,4,1,0,0,satisfied
123880,NA,loyal_customer,35,business_travel,business,2611,2,2,2,2,3,3,3,5,3,4,5,3,5,3,0,0,satisfied
18399,female,loyal_customer,46,business_travel,business,201,5,5,5,5,5,4,5,5,5,5,5,5,5,5,NA,6,satisfied
1667,female,disloyal_customer,25,business_travel,business,920,0,0,1,1,1,1,1,1,4,3,4,5,5,1,0,0,satisfied
14881,female,loyal_customer,49,business_travel,business,888,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,0,satisfied
35284,female,loyal_customer,56,business_travel,business,3078,3,2,3,3,5,4,5,5,5,5,5,4,5,4,13,0,satisfied
39007,female,loyal_customer,41,business_travel,business,331,3,3,3,3,5,5,5,5,5,5,5,3,5,3,53,50,satisfied
85597,NA,loyal_customer,39,business_travel,business,2176,2,2,2,2,3,4,5,4,4,4,4,3,4,3,0,0,satisfied
51897,female,loyal_customer,46,business_travel,business,2645,1,1,1,1,3,4,5,4,4,4,4,5,4,3,0,0,satisfied
90524,female,loyal_customer,33,business_travel,business,1379,3,3,3,3,5,5,5,4,4,4,4,4,4,3,3,0,satisfied
25509,female,disloyal_customer,46,business_travel,eco_plus,371,4,4,4,3,2,4,2,2,3,2,3,3,1,2,0,0,satisfied
49276,female,loyal_customer,47,business_travel,business,2157,0,1,1,1,5,4,5,5,5,5,5,3,5,3,0,0,satisfied
59196,female,loyal_customer,33,business_travel,business,3850,0,0,0,5,3,5,5,3,3,3,3,4,3,4,11,6,satisfied
125258,NA,loyal_customer,43,business_travel,business,383,5,3,5,5,4,5,5,5,5,5,5,3,5,5,0,0,satisfied
39106,female,loyal_customer,32,personal_travel,eco_plus,383,0,4,0,3,4,0,4,4,5,5,5,5,4,4,0,0,satisfied
76358,NA,loyal_customer,47,business_travel,business,2200,2,2,2,2,5,5,4,4,4,4,5,5,4,5,0,0,satisfied
8699,male,loyal_customer,46,business_travel,business,2771,0,0,0,2,1,3,4,3,3,3,3,3,3,1,0,0,satisfied
324,male,loyal_customer,28,business_travel,business,1087,1,1,3,1,5,NA,5,5,3,2,4,5,5,5,0,0,satisfied
36740,male,loyal_customer,51,business_travel,business,2048,1,1,1,1,3,5,5,4,4,4,4,5,4,3,0,0,satisfied
82175,female,loyal_customer,52,business_travel,business,1400,4,4,4,4,5,4,3,3,3,4,3,1,3,1,27,0,satisfied
